outcode,avg_asking_price,avg_asking_price_1bed,avg_asking_price_2beds,avg_asking_price_3beds,avg_asking_price_4beds,avg_asking_price_5beds,days_on_market,Sales per month,Sale/List Ratio
S13,195109,91250,146731,193973,296250,425000,91 days,37.91,97.39
S14,152400,90000,220000,151750,-,-,56 days,5.36,110
S17,599399,-,238533,426959,645435,864667,157 days,18.92,111.11
S18,455040,-,239998,342217,642721,976176,103 days,45.15,69.68
S2,173416,100000,139999,185512,262000,400000,119 days,27.23,111.11
S20,238440,117500,180563,236846,333344,558750,95 days,39.16,119.35
S21,347390,95000,184839,246965,476286,479063,134 days,34.93,51.28
S25,290804,107999,155133,252056,358787,467588,143 days,42.38,47.03
S26,324417,655000,183260,254075,418508,510292,164 days,34.21,62.57
S3,144629,103365,156539,232000,221250,296500,355 days,11.41,33.33
S32,604999,196250,371250,623325,802143,1228750,146 days,7.6,91.89
S33,560000,-,328125,443462,749375,817500,124 days,8.95,70.27
S35,344275,111743,187037,289113,458998,709231,134 days,47.91,84.11
S36,365413,117843,201395,289372,462297,597495,104 days,58.56,79.31
S4,134000,67500,92000,141000,252498,-,105 days,4.29,106.67
S40,304486,87688,181107,255444,441624,663333,138 days,50.87,71.37
S41,269911,99667,160748,251762,380588,572400,137 days,49.05,73.66
S42,331849,-,175732,260610,446591,626995,130 days,69,53.18
S43,285262,95000,172763,228176,419075,645832,134 days,70.07,55.91
S44,326080,130000,186547,286620,363903,578569,168 days,43.21,38.02
S45,398253,-,189057,303136,513139,1005000,141 days,28.72,59.26
S5,158941,78000,125909,167869,200714,307499,125 days,24.96,116.35
S6,279505,127806,169821,245780,417706,546667,109 days,53.12,165.8
S60,278101,86990,179135,255086,376477,348499,163 days,42.33,75.65
S61,234624,121667,121931,201607,378999,501297,149 days,23.56,88.03
S62,231749,-,107263,181968,414980,362143,103 days,19.51,105.97
S63,207256,61000,132871,189364,324359,358744,169 days,44.02,83.06
S64,202156,150000,126043,197082,290718,240000,122 days,40.82,75.9
S65,283834,78883,140386,225332,472759,575866,159 days,24.15,84.38
S66,279873,72500,178317,231976,397861,465550,155 days,45.29,79.49
S7,329933,139000,197898,337941,553329,581250,157 days,16.62,120.69
S70,204541,69932,127647,197769,312734,379375,168 days,36.07,94.06
S71,236551,60000,152041,197691,324333,440000,153 days,36.47,120.43
S72,277473,-,145119,221095,408285,555833,136 days,35.29,65
S73,231739,69995,133859,220377,313351,401667,145 days,30.41,80.27
S74,245204,107500,147894,217416,382136,523000,139 days,17.48,103.7
S75,367685,97500,160936,284401,413562,678600,144 days,50,91.67
S8,301882,129118,209774,293837,444633,584286,96 days,58.44,122.99
S80,283148,163444,149344,235028,395544,491846,176 days,35.97,71.56
S81,321849,171250,201134,228683,381375,580862,138 days,70.22,56.97
S9,156934,75000,113409,162476,231333,-,130 days,8.77,184.21
SA1,175156,108574,150223,174954,241461,260825,205 days,48.29,50.61
SA10,255385,81124,207340,216053,338585,468636,156 days,35.77,65.05
SA11,203233,76238,134082,168050,301358,561208,187 days,41.07,69.53
SA12,214830,67663,189724,187105,311383,438333,153 days,25.49,90.77
SA13,201843,-,100362,171335,249908,537238,108 days,25.28,67.03
SA14,272121,85000,170813,241622,350116,444323,152 days,59.01,54.18
SA15,247571,32250,140691,213834,362130,374045,160 days,47.62,61.81
SA16,296060,79995,218863,262643,342221,471998,171 days,14.21,37.04
SA17,312658,170000,196998,259920,408906,465000,203 days,20.84,41.84
SA18,263804,150000,188343,235421,345477,414635,165 days,59.27,30.37
SA19,418583,139950,245193,361122,578370,542024,243 days,22.35,28.73
SA2,355953,102188,214459,304833,448039,541484,122 days,75.49,45.93
SA20,334333,-,362136,328625,377636,489975,231 days,6.75,23.08
SA3,447007,198045,264690,411802,616673,677690,164 days,65.67,40.11
SA31,287358,88090,153389,249946,376470,360143,189 days,25.24,47.17
SA32,450350,-,321875,304154,568291,647306,231 days,17.14,14.39
