outcode,in_employment,unemployed,unemployment_pct
HD8,15686,11955,43.25
HD9,150,70,31.82
HG1,19376,12075,38.39
HG2,14995,10548,41.3
HG3,14137,10627,42.91
HG4,12170,9016,42.56
HG5,9135,7034,43.5
HP1,15202,8614,36.17
HP10,11695,7580,39.33
HP11,10454,5771,35.57
HP12,10376,6427,38.25
HP13,21368,12532,36.97
HP14,10569,6316,37.41
HP15,7709,5419,41.28
HP16,6158,4325,41.26
HP17,12826,8915,41.01
HP18,12547,6595,34.45
HP19,14598,7458,33.81
HP2,20655,12480,37.66
HP20,8024,4547,36.17
HP21,16808,9422,35.92
HP22,14765,8566,36.72
HP23,9562,6132,39.07
HP3,17214,10222,37.26
HP4,11715,7651,39.51
HP5,13074,8259,38.71
HP6,7711,5268,40.59
HP7,4605,3078,40.06
HP8,3238,2355,42.11
HP9,7772,5696,42.29
HR1,18046,13013,41.9
HR2,18968,13089,40.83
HR3,3978,3326,45.54
HR4,14390,9965,40.92
HR5,3002,2575,46.17
HR6,8986,7532,45.6
HR7,3997,3574,47.21
HR8,6601,5808,46.8
HR9,8873,7873,47.01
HU1,3452,2590,42.87
HU10,9685,7766,44.5
HU11,7841,7252,48.05
HU12,11265,9854,46.66
HU13,7714,4913,38.91
HU14,4241,3206,43.05
HU15,12010,8258,40.74
HU16,7144,6573,47.92
HU17,19635,15549,44.19
HU18,3033,3990,56.81
HU19,2287,3372,59.59
HU2,1496,1574,51.27
HU20,129,132,50.57
HU3,13030,10585,44.82
HU4,10630,8564,44.62
HU5,23753,16593,41.13
HU6,13186,14714,52.74
HU7,22130,15551,41.27
HU8,15967,12310,43.53
HU9,16324,14984,47.86
HX1,12141,12790,51.3
HX2,16371,13078,44.41
HX3,18594,14032,43.01
HX4,5373,3385,38.65
HX5,3927,2990,43.23
HX6,8908,5743,39.2
HX7,5979,4419,42.5
IG1,31254,25753,45.18
IG10,16824,10792,39.08
IG11,29162,20217,40.94
IG2,16545,11438,40.87
IG3,15223,11999,44.08
IG4,4798,3608,42.92
IG5,8040,6265,43.8
IG6,14843,9784,39.73
IG7,10585,6955,39.65
IG8,17355,11401,39.65
IG9,6267,3499,35.83
IP1,21032,13951,39.88
IP10,5666,3969,41.19
IP11,10563,10189,49.1
IP12,11772,10772,47.78
IP13,9137,7816,46.1
IP14,21768,14806,40.48
