outcode,Avg asking rent(p/m),Avg asking rent(1 bed),Avg asking rent(2 beds),Avg asking rent(3 beds),Avg asking rent(4 beds),Avg asking rent(5 beds),avg_gross_yield
DL14,617.0,457,510,643,1200,2000,4.26
DL15,603.0,-,526,634,1300,-,4.24
DL16,598.0,-,551,875,-,-,3.75
DL17,607.0,1891,502,534,1500,-,4.54
DL2,1286.0,-,909,1133,1542,3250,4.64
DL3,692.0,533,638,1000,1583,-,3.15
DL4,509.0,450,492,574,-,-,6.42
DL5,720.0,-,574,638,1300,-,4.56
DL6,1196.0,810,651,950,950,2325,3.75
DL7,992.0,550,939,888,1450,-,3.01
DL8,913.0,560,613,979,1225,-,2.75
DL9,756.0,475,675,-,1200,-,4.46
DN1,588.0,576,744,750,1200,-,2.97
DN10,1046.0,695,767,1080,1975,-,3.21
DN11,862.0,552,768,966,1258,-,4.3
DN12,788.0,530,768,800,1350,-,3.98
DN14,856.0,655,959,888,1035,-,3.2
DN15,618.0,512,640,791,1250,-,3.36
DN16,719.0,460,773,770,-,-,5.31
DN17,705.0,461,-,753,-,1250,3.48
DN18,648.0,473,545,750,1100,-,3.21
DN19,778.0,-,750,595,990,-,3.06
DN2,636.0,491,650,939,1081,-,3.25
DN20,753.0,548,677,763,1175,-,3.31
