outcode,Total households,One Person household,Single family Household,Other household type
DY2,12856,3746,8266,844
DY3,16005,4904,10495,606
DY4,19103,5821,11951,1331
DY5,18638,5693,12222,723
DY6,13003,3637,8941,425
DY7,3355,964,2278,113
DY8,21436,6766,13953,717
DY9,11571,3430,7507,634
E1,36880,12186,17800,6894
E10,19014,4884,10902,3228
E11,22148,6428,12829,2891
E12,12934,2486,7868,2580
E13,18286,4340,10223,3723
E14,43734,14248,22825,6661
E15,23095,6504,12001,4590
E16,23306,6454,13324,3528
E17,40941,10326,24890,5725
E18,8398,2394,5203,801
E1W,415,168,216,31
E2,19702,6363,9598,3741
E20,2991,585,1555,851
E3,25195,7515,13339,4341
E4,25581,6829,16340,2412
E5,20666,6620,10942,3104
E6,23919,4526,14452,4941
E7,14796,3082,8392,3322
E8,21032,7312,10195,3525
E9,14614,4740,7827,2047
EC1A,1509,762,583,164
EC1M,1442,655,596,191
EC1N,1384,657,562,165
EC1R,2963,1220,1443,300
EC1V,8707,3530,4062,1115
EC1Y,2045,982,931,132
EC2A,695,317,259,119
EC2P,242,115,93,34
EC2Y,923,402,473,48
EC3N,158,76,71,11
EC4A,113,62,39,12
EC4Y,99,48,41,10
EN1,20183,5297,13191,1695
EN10,7869,1985,5455,429
EN11,9186,2536,6111,539
EN2,12159,3678,7696,785
EN3,21240,4924,13968,2348
EN4,12278,3298,8034,946
EN5,16050,4622,10211,1217
EN6,12075,3299,7952,824
EN7,8832,2168,6140,524
EN8,15069,4499,9463,1107
EN9,9819,3019,6204,596
EX1,13933,4711,7888,1334
EX10,8960,2949,5626,385
EX11,4154,1068,2886,200
EX12,5099,1821,3089,189
EX13,7804,2325,5104,375
EX14,10064,3032,6534,498
EX15,10194,2758,6914,522
EX16,15313,4481,10053,779
EX17,9211,2674,6062,475
EX18,1912,553,1254,105
EX19,1725,435,1189,101
EX2,20063,6165,12434,1464
EX20,10184,2906,6715,563
EX21,1903,462,1337,104
EX22,5282,1456,3500,326
EX23,7065,2165,4547,353
EX3,1992,771,1145,76
EX31,13809,3905,9187,717
EX32,10012,3140,6383,489
EX33,4828,1450,3158,220
EX34,6808,2422,4023,363
EX35,728,259,443,26
EX36,4238,1289,2742,207
EX37,1145,297,768,80
EX38,3900,1101,2589,210
EX39,17294,5695,10794,805
EX4,20829,6294,11695,2840
EX5,9380,2386,6583,411
EX6,6584,1919,4356,309
EX7,6629,2239,4059,331
EX8,16867,5364,10640,863
EX9,3160,1077,1984,99
FY0,128,64,62,2
FY1,17396,7573,8377,1446
FY2,11492,4258,6702,532
FY3,13949,4625,8538,786
FY4,20520,7150,12283,1087
FY5,20578,7026,12726,826
FY6,13483,4344,8647,492
FY7,11562,3943,7070,549
FY8,21271,8309,12237,725
GL1,18452,6738,10072,1642
GL10,7504,2043,5075,386
GL11,8853,2480,6017,356
GL12,5891,1469,4202,220
GL13,2461,713,1653,95
GL14,7368,2256,4715,397
GL15,10192,2783,6990,419
GL16,6112,1889,3962,261
GL17,5523,1470,3775,278
GL18,4129,1221,2675,233
GL19,4354,1031,3053,270
GL2,23940,6061,16719,1160
GL20,12829,3746,8626,457
GL3,14959,4203,10110,646
GL4,18996,5204,12863,929
GL5,14659,4807,9203,649
GL50,13648,5803,6661,1184
GL51,21783,6936,13733,1114
GL52,21515,6668,13920,927
GL53,7546,2248,5070,228
GL54,11543,3394,7728,421
GL55,2790,830,1873,87
GL56,4353,1432,2751,170
GL6,9670,2818,6463,389
GL7,20558,6125,13622,811
GL8,4210,1325,2750,135
GL9,702,177,495,30
GU1,15272,4717,9097,1458
GU10,12670,2855,9210,605
GU11,11552,3185,7381,986
GU12,12520,3328,8342,850
GU13,15083,4057,10421,605
GU14,22795,6044,14950,1801
GU15,19657,4837,13351,1469
GU16,8612,2154,5934,524
GU17,13677,3207,9709,761
GU18,3106,843,2117,146
GU19,2598,770,1691,137
GU2,11723,2847,7100,1776
