outcode,1 person,2 people,3 people,4 people,5 person plus
WC1X,543,450,215,128,111
WC2A,126,64,21,6,0
WC2B,541,197,55,29,9
WC2E,237,135,31,7,14
WC2H,207,131,43,18,13
WD1,9032,8967,5668,4923,2784
WD17,94,48,23,33,14
WD18,43,62,37,34,10
WD19,53,57,37,22,16
WD2,8085,9029,5558,5188,2623
WD23,36,61,11,5,2
WD24,43,38,16,22,6
WD25,54,114,97,102,42
WD3,4173,5143,2779,3013,1076
WD4,1277,1453,803,692,269
WD5,1331,1326,660,681,267
WD6,4455,4545,2973,2809,1430
WD7,1010,1490,783,812,322
WF1,6627,6380,2898,2126,1415
WF10,6531,7997,3883,2761,1087
WF11,2642,2763,1211,810,402
WF12,4186,4720,2365,2059,1941
WF13,3082,2471,1462,1454,2138
WF14,2766,3299,1354,1108,403
WF15,2501,2675,1320,986,486
WF16,1249,1165,564,512,550
WF17,4479,4448,2334,1992,2087
WF2,6566,7882,3717,2739,1365
WF3,3684,4890,2372,1873,623
WF4,5192,6940,3031,2206,764
WF5,2896,3354,1385,1164,383
WF6,2829,3420,1634,1228,380
WF7,2997,3885,1756,1268,496
WF8,4539,5737,2657,1895,714
WF9,4979,5828,2837,2005,934
WN1,4005,3572,1703,1164,501
WN2,6842,7930,3877,2832,1258
WN3,3365,4363,2348,1842,684
WN4,3357,4406,1964,1472,624
WN5,5892,6672,3419,2420,1010
WN6,5004,6494,2930,2322,750
WN7,7386,7254,3616,2435,1093
WN8,5920,6299,3365,2478,1182
WR1,3462,2377,740,376,186
WR10,2712,3980,1344,1077,381
WR11,5717,7843,3271,2483,1001
WR12,912,1233,295,195,88
WR13,1453,2497,814,645,227
WR14,5122,5406,1992,1418,582
WR15,888,1251,434,320,149
WR2,3688,5053,2206,1856,739
WR3,2748,3758,1633,1337,500
WR4,2985,3575,1935,1548,720
WR5,3518,4754,2297,1845,816
WR6,827,1523,548,470,177
WR7,449,918,363,308,81
WR8,978,1343,400,294,120
WR9,3993,5072,2133,1715,694
WS1,3591,2760,1677,1410,2019
WS10,5463,5610,3409,2891,2260
WS11,6210,7492,3563,2429,1119
WS12,3944,5393,2624,1889,717
WS13,4317,4962,2082,1678,645
WS14,1760,2720,1034,981,287
WS15,4451,6122,2666,1915,850
WS2,4405,4286,2644,2093,2178
WS3,6292,6878,3689,3008,1841
WS4,2177,2478,1232,940,521
WS5,1786,2184,1218,1198,984
WS6,1771,2682,1166,868,329
WS7,3514,4950,2177,1618,604
WS8,2078,2422,1202,888,523
WS9,3098,3745,1560,1409,515
WV1,3509,2283,1336,1049,935
WV10,6774,7041,4282,3453,2272
WV11,4540,4747,2583,1952,1003
WV12,2739,3433,1763,1350,670
WV13,2466,2499,1520,1200,775
WV14,5707,5991,3480,2718,1794
WV15,1248,1778,602,439,180
WV16,2226,2896,1034,796,357
WV2,2019,1941,1266,1204,989
WV3,4307,3759,1956,1673,1051
WV4,3276,3636,1960,1835,1130
WV5,1706,2110,940,736,288
WV6,5514,5887,2857,2313,1422
WV7,755,965,365,285,112
WV8,1863,2207,979,816,373
WV9,927,1049,444,312,116
YO1,6682,7200,2701,2245,1182
YO10,62,62,18,7,1
YO11,6030,5022,1787,1051,565
YO12,5789,6275,2505,1695,830
YO13,1003,1747,490,468,187
YO14,1778,2318,626,368,193
YO15,3232,3269,891,574,391
YO16,3717,4162,1260,909,448
YO17,3294,4239,1618,1262,541
YO18,1732,2235,616,469,180
YO19,678,1254,492,516,148
YO2,9017,10952,4367,3643,1232
YO21,2412,2789,889,623,278
YO22,1058,1363,460,301,133
YO23,114,233,60,68,18
YO24,21,53,32,40,19
YO25,4293,6192,1984,1585,582
YO26,636,1254,474,461,160
YO3,10433,12933,5225,4211,1598
YO30,269,471,205,150,47
YO31,66,99,47,37,16
YO4,4617,7058,2430,2092,704
YO42,72,158,75,49,17
YO43,51,104,81,61,23
YO5,674,1058,351,310,82
YO6,3939,5656,1723,1349,536
YO61,31,62,21,12,5
YO7,2506,3406,1269,1024,365
YO8,5581,7990,3277,2528,946
