outcode,In_Employment,Unemployed,Unemployment_pct,Retired
BA10,2381,86,3.49,1046
BA11,18131,602,3.21,7626
BA12,14164,494,3.37,7627
BA13,10795,347,3.11,4459
BA14,25248,952,3.63,9836
BA15,6136,227,3.57,4018
BA16,6349,261,3.95,3006
BA2,29977,1203,3.86,12435
BA20,6931,227,3.17,3279
BA21,16870,654,3.73,6397
BA22,9419,226,2.34,4550
BA3,18517,606,3.17,7734
BA4,9209,342,3.58,3567
BA5,8412,317,3.63,5265
BA6,5930,210,3.42,3075
BA7,1700,57,3.24,1103
BA8,2374,78,3.18,1316
BA9,3594,118,3.18,1542
BB0,87,9,9.38,54
BB1,28814,1848,6.03,9815
BB10,17246,1138,6.19,7706
BB11,10501,652,5.85,3988
BB12,15617,679,4.17,7078
BB18,8462,295,3.37,4020
BB2,24715,1468,5.61,9340
BB3,15019,735,4.67,5966
BB4,19404,800,3.96,8207
BB5,25825,1511,5.53,10399
BB6,11447,378,3.2,5453
BB7,12172,364,2.9,5765
BB8,10769,498,4.42,4832
BB9,16537,1213,6.83,6291
BD1,4404,568,11.42,623
BD10,14492,714,4.7,5159
BD11,6559,241,3.54,2939
BD12,8320,449,5.12,3647
BD13,14834,547,3.56,5605
BD14,3712,222,5.64,1520
BD15,7060,438,5.84,2797
BD16,12531,434,3.35,6518
BD17,8716,364,4.01,4495
BD18,12166,726,5.63,4340
BD19,10579,438,3.98,4334
BD2,12177,907,6.93,4020
BD20,19065,642,3.26,9520
BD21,10729,874,7.53,3595
BD22,11522,453,3.78,4788
BD23,13948,410,2.86,8088
BD24,2101,45,2.1,1491
BD3,9818,1224,11.08,2024
BD4,12504,1173,8.58,3621
BD5,8883,1293,12.71,2165
BD6,13067,711,5.16,4375
BD7,9609,1225,11.31,2517
BD8,9644,1271,11.64,2441
BD9,8620,917,9.62,2051
BH1,14660,1089,6.91,3589
BH10,10608,434,3.93,5073
BH11,8891,479,5.11,3785
BH12,18398,812,4.23,7043
BH13,2880,117,3.9,3521
BH14,11046,401,3.5,5102
BH15,16367,690,4.05,7283
BH16,7081,299,4.05,3680
BH17,11406,433,3.66,4598
BH18,4562,135,2.87,3741
BH19,4393,208,4.52,3933
BH2,4924,394,7.41,1728
BH20,9130,329,3.48,5321
BH21,25400,734,2.81,14803
BH22,10424,339,3.15,10419
BH23,22769,849,3.59,17137
BH24,10468,353,3.26,7173
BH25,10075,370,3.54,9232
BH3,3058,161,5.0,1189
BH31,253,5,1.94,115
BH4,3834,193,4.79,2247
BH5,5324,316,5.6,1806
BH6,10922,441,3.88,5690
BH7,4246,187,4.22,1583
BH8,13177,705,5.08,4379
BH9,11931,531,4.26,3424
BL0,9365,298,3.08,4111
BL1,28870,2172,7.0,10651
BL11,95,10,9.52,17
BL2,20051,1284,6.02,9507
BL3,25739,1998,7.2,9611
BL4,14073,1019,6.75,4882
BL5,13709,519,3.65,5788
BL6,14155,556,3.78,6117
BL7,6719,232,3.34,3395
BL8,16174,552,3.3,8199
BL9,21760,1415,6.11,8437
BN1,42796,2314,5.13,10571
BN10,8988,452,4.79,4562
BN11,17361,944,5.16,7893
BN12,9670,386,3.84,6971
BN13,14249,562,3.79,6634
BN14,14615,609,4.0,5991
BN15,12735,552,4.15,6667
BN16,11778,472,3.85,10526
BN17,14735,772,4.98,6334
BN18,6496,269,3.98,3734
BN2,40207,2499,5.85,12359
BN20,10164,462,4.35,8261
BN21,10394,695,6.27,5340
BN22,13921,817,5.54,6095
BN23,12598,644,4.86,7335
BN24,3903,155,3.82,2432
BN25,9782,437,4.28,8204
BN26,6091,219,3.47,3730
BN27,14267,570,3.84,7621
BN3,41729,2127,4.85,11135
BN4,28139,1196,4.08,12509
BN41,717,68,8.66,248
BN42,156,9,5.45,63
BN43,1294,53,3.93,548
BN44,261,14,5.09,140
BN5,3533,130,3.55,2070
BN6,8577,293,3.3,4176
BN7,9370,425,4.34,4138
BN8,7576,238,3.05,3915
BN9,5838,326,5.29,2373
BR1,31106,1887,5.72,8839
BR2,24306,1082,4.26,8458
BR3,25374,1282,4.81,8137
BR4,8705,331,3.66,3995
BR5,23610,1292,5.19,8436
BR6,20923,875,4.01,9885
BR7,8510,382,4.3,3601
BR8,10932,546,4.76,4545
BS0,145,5,3.33,32
BS1,10876,569,4.97,1079
BS10,16203,747,4.41,5038
BS11,8776,431,4.68,2596
BS12,39158,1267,3.13,14310
BS13,15490,769,4.73,4650
BS14,15237,455,2.9,6456
BS15,42752,1453,3.29,15921
BS16,41533,1456,3.39,13276
BS17,27088,714,2.57,12328
BS18,27187,792,2.83,12830
BS19,16612,404,2.37,9876
BS2,9284,602,6.09,1081
BS20,15834,422,2.6,7734
BS21,10805,304,2.74,6049
BS22,18883,636,3.26,9109
BS23,15892,909,5.41,7574
BS24,12713,377,2.88,4702
BS25,1967,34,1.7,1518
BS26,1930,42,2.13,996
BS27,3117,98,3.05,1821
BS28,1449,25,1.7,926
BS3,24040,812,3.27,4236
BS31,853,16,1.84,269
BS32,1260,38,2.93,95
BS34,3350,101,2.93,216
BS35,564,4,0.7,39
BS36,172,0,0.0,36
BS37,944,28,2.88,118
BS39,505,20,3.81,20
