outcode,avg_asking_price,Avg asking rent(p/m),avg_gross_yield
GL8,660591,2231.0,4.05
GU1,499805,1938.0,4.65
GU10,1110479,3500.0,3.78
GU11,318977,1383.0,5.2
GU12,419149,2021.0,5.79
GU14,372183,1617.0,5.21
GU15,521283,1747.0,4.02
GU16,530394,2412.0,5.46
GU17,540595,1870.0,4.15
GU18,635570,3300.0,6.23
GU19,478991,1809.0,4.53
GU2,510980,2108.0,4.95
GU20,1542331,2792.0,2.17
GU21,502019,2046.0,4.89
GU22,690618,2360.0,4.1
GU23,1016360,3758.0,4.44
GU24,867587,3792.0,5.24
GU25,2495380,5528.0,2.66
GU26,662723,2450.0,4.44
GU27,833818,1586.0,2.28
GU28,841339,1900.0,2.71
GU29,633659,2926.0,5.54
GU3,817379,2497.0,3.67
GU30,845836,2657.0,3.77
GU31,727226,2531.0,4.18
GU32,806043,1579.0,2.35
GU33,779101,2267.0,3.49
GU34,610206,1674.0,3.29
GU35,515931,2844.0,6.61
GU4,787819,2600.0,3.96
GU46,553405,2260.0,4.9
GU47,543480,1681.0,3.71
GU5,948213,3545.0,4.49
GU51,485475,1817.0,4.49
GU52,583221,1313.0,2.7
GU6,744995,2074.0,3.34
GU7,615119,2852.0,5.56
GU8,1097603,6677.0,7.3
GU9,601709,2376.0,4.74
HA0,521215,2048.0,4.72
HA1,481634,2037.0,5.08
HA2,476702,1947.0,4.9
HA3,567715,2087.0,4.41
HA4,580236,1988.0,4.11
HA5,739479,2151.0,3.49
HA6,1208917,2445.0,2.43
HA7,890120,3010.0,4.06
HA8,570557,2205.0,4.64
HA9,539298,2187.0,4.87
HD1,195397,760.0,4.67
HD2,350382,950.0,3.25
HD3,278147,773.0,3.33
HD4,327370,967.0,3.54
HD5,262351,817.0,3.74
HD6,295728,1057.0,4.29
HD7,324254,774.0,2.86
HD8,402141,1099.0,3.28
HD9,447857,1235.0,3.31
HG1,402052,1530.0,4.57
HG2,576100,1395.0,2.91
HG3,675602,1494.0,2.65
HG4,353839,1321.0,4.48
HG5,498579,2057.0,4.95
HP1,445245,1676.0,4.52
HP10,784423,2634.0,4.03
HP11,577400,1809.0,3.76
HP12,421194,1713.0,4.88
HP13,413581,1350.0,3.92
HP14,824055,2993.0,4.36
HP15,649789,1805.0,3.33
HP16,928929,2010.0,2.6
HP17,846519,2111.0,2.99
HP18,586489,2099.0,4.29
HP19,301237,1449.0,5.77
HP2,399517,1741.0,5.23
HP20,314102,1446.0,5.52
HP21,351698,1708.0,5.83
HP22,686900,2075.0,3.62
HP23,760471,3216.0,5.07
HP27,755434,2580.0,4.1
HP3,614567,1642.0,3.21
HP4,793573,2156.0,3.26
HP5,665096,1631.0,2.94
HP6,871613,1986.0,2.73
HP7,854730,2330.0,3.27
HP8,1311331,3589.0,3.28
HP9,1662621,7123.0,5.14
HR1,421770,1228.0,3.49
HR2,543224,1243.0,2.75
HR3,591771,1100.0,2.23
HR4,367847,970.0,3.16
HR5,427203,1133.0,3.18
HR6,541350,1105.0,2.45
HR7,356078,750.0,2.53
HR8,454318,939.0,2.48
HR9,528010,1222.0,2.78
HU1,145394,834.0,6.88
HU10,331677,1008.0,3.65
HU11,278337,824.0,3.55
HU12,255071,984.0,4.63
HU13,262730,888.0,4.06
HU14,495387,1456.0,3.53
HU15,365929,913.0,2.99
HU16,285317,1269.0,5.34
HU17,336768,902.0,3.21
HU18,245971,717.0,3.5
HU19,202094,653.0,3.88
HU2,133016,692.0,6.24
HU3,129817,560.0,5.18
HU4,178697,724.0,4.86
HU5,191363,720.0,4.51
HU6,217377,721.0,3.98
HU7,190667,700.0,4.41
HU8,173332,686.0,4.75
