outcode,total_households,poverty_pct
LL57,9757,51.04
LL58,1843,49.86
LL59,2454,42.91
LL60,1408,47.73
LL61,2416,49.92
LL62,1169,51.33
LL63,725,56.69
LL64,280,55.36
LL65,10629,55.97
LL66,883,52.77
LL67,465,55.91
LL68,2260,54.96
LL69,145,50.34
LL70,154,45.45
LL71,836,49.76
LL72,292,51.03
LL73,213,46.48
LL74,1204,53.24
LL75,617,53.16
LL76,174,36.21
LL77,2637,51.19
LN1,14744,49.96
LN10,3412,53.72
LN11,14009,53.77
LN12,6856,71.09
LN13,3718,62.99
LN2,18453,51.63
LN3,7419,50.87
LN4,17778,50.15
LN5,14440,51.19
LN6,26249,49.64
LN7,3046,50.26
LN8,3747,53.75
LN9,4286,55.06
LS1,6214,44.17
LS10,16849,58.16
LS11,16279,64.22
LS12,19644,58.55
LS13,17226,55.71
LS14,17504,58.71
LS15,15213,50.44
LS16,17605,46.46
LS17,18526,43.87
LS18,9205,40.41
LS19,8791,46.71
LS2,3849,49.18
LS20,5483,40.78
LS21,8207,45.47
LS22,7339,41.95
LS23,4031,41.78
LS24,5691,45.35
LS25,19171,46.12
LS26,13734,49.4
LS27,16975,49.09
LS28,16716,46.3
LS29,14228,38.81
LS3,749,63.68
LS4,4163,52.17
LS5,3064,51.44
LS6,17249,51.21
LS7,13124,53.06
LS8,18814,54.16
LS9,17171,65.46
LU1,18831,63.09
LU2,24889,51.28
LU3,22146,58.03
LU4,17930,61.39
LU5,17417,51.7
LU6,13368,47.88
LU7,25417,43.34
M1,7670,37.25
M10,20997,63.0
M11,9762,63.09
M12,8218,68.11
M13,7237,63.66
M14,17680,61.45
M15,10918,45.7
M16,14399,55.37
M17,980,46.43
M18,9824,65.42
M19,14029,57.98
M2,187,20.32
M20,20856,42.69
M21,11936,45.19
M22,18884,61.73
M23,14496,59.34
M24,22972,56.95
M25,22811,50.34
M26,14980,55.24
M27,19138,53.34
M28,24812,51.54
M29,19970,53.03
M3,9126,39.9
M30,26249,55.89
M31,20701,50.76
M32,11295,51.54
M33,25292,44.22
M34,21690,55.71
M35,19212,56.96
M4,8549,32.79
M40,463,61.77
M41,125,62.4
M43,271,52.03
M44,442,31.0
M46,533,29.64
M5,11930,50.09
M50,1817,40.45
M6,13122,58.5
M7,12146,61.41
M8,10139,66.46
M9,16039,64.75
ME1,15109,49.83
ME10,21222,53.96
ME11,2002,62.64
ME12,16374,62.82
ME13,12667,52.3
ME14,16058,46.16
ME15,21748,53.01
ME16,13562,47.13
ME17,10273,46.96
ME18,3224,46.77
ME19,10386,41.35
ME2,16704,51.99
ME20,8570,48.88
ME3,11665,51.33
ME4,13496,57.97
ME5,20857,52.26
ME6,4629,51.46
ME7,19745,55.22
ME8,20539,52.28
ME9,8117,49.76
MK1,4613,54.71
MK10,8846,37.37
MK11,5052,46.4
MK12,7111,51.09
MK13,6800,55.54
MK14,7740,53.75
MK15,3002,48.3
MK16,8506,43.55
MK17,9101,41.06
MK18,13901,41.42
MK19,5088,42.18
MK2,5361,61.78
MK3,10097,51.86
MK4,9177,41.42
MK40,17852,50.09
MK41,17518,48.49
MK42,21578,51.09
MK43,16345,41.5
MK44,7114,43.62
MK45,20208,41.84
MK46,3808,40.39
MK5,5941,44.55
MK6,10028,63.78
MK7,5799,44.66
MK8,4658,41.71
MK9,1967,45.55
N1,41484,49.82
N10,11809,44.54
N11,13728,51.98
N12,13004,49.09
N13,13853,54.92
N14,10642,47.67
N15,20602,63.73
N16,23702,54.83
N17,25261,66.68
N18,11917,68.85
N19,17891,54.42
N1C,547,62.89
N2,10322,45.41
N20,6672,42.72
N21,8076,44.89
N22,16249,60.63
N3,10388,47.01
N4,23199,52.33
N5,10504,42.84
N6,8129,40.52
N7,20861,56.68
N8,16049,48.74
N9,17193,68.03
NE1,6507,46.98
NE10,17117,59.44
NE11,7477,54.41
NE12,17688,50.23
NE13,10004,41.58
NE15,16188,56.2
NE16,10970,48.34
NE17,2398,59.88
NE18,411,50.85
NE19,1900,44.53
NE2,10540,43.12
NE20,4739,38.78
NE21,8241,52.07
NE22,9279,53.82
NE23,18084,52.57
NE24,18104,56.47
NE25,14454,46.14
NE26,7588,43.31
NE27,6753,44.69
NE28,21722,55.82
NE29,17628,56.38
NE3,21488,47.52
NE30,9255,43.98
NE31,10990,53.69
NE32,10503,59.37
NE33,14545,57.62
NE34,22362,59.34
NE35,3146,53.97
NE36,2957,45.45
NE37,9591,60.36
NE38,13060,53.62
NE39,3599,53.57
NE4,13746,65.71
NE40,6696,50.06
NE41,823,40.7
NE42,5381,50.33
NE43,2030,41.58
NE44,693,40.4
NE45,1524,45.54
NE46,7077,47.14
NE47,3156,44.9
NE48,1323,50.57
NE49,1622,55.8
NE5,20965,58.74
NE6,22923,59.78
NE61,16025,46.98
NE62,3938,58.02
NE63,12969,58.64
NE64,2519,64.47
NE65,9307,50.28
NE66,8081,48.9
NE67,479,45.93
NE68,860,51.63
NE69,179,50.84
NE7,5959,43.08
NE70,946,52.96
NE71,1396,56.3
NE8,14047,56.89
NE9,15416,55.24
NG1,7196,45.26
NG10,21286,51.41
NG11,16945,54.04
NG12,16529,43.72
NG13,9572,43.12
NG14,8713,45.12
NG15,20135,51.75
NG16,27582,54.82
NG17,32527,58.42
NG18,22021,56.38
NG19,21759,57.69
NG2,24042,46.83
NG20,11969,62.17
