outcode,Managers,Professionals,Assosiates,Administrative,Skilled Trades,Caring and Leisure,Sales and customer Service,Process Plant & Machine,Elementry
PR4,4341,6532,4259,2992,3384,2609,1875,1875,2420
PR5,2103,3472,2535,2139,2264,1934,1534,1643,1780
PR6,2729,3986,2472,1812,1807,1661,1240,1190,1529
PR7,3883,6101,4331,2881,3042,2881,2049,1957,2760
PR8,3160,4980,2935,2476,2565,3088,2130,1666,2406
PR9,2150,3134,2093,1855,2111,2304,1400,1390,1985
RG1,2688,8997,4091,2091,1743,2458,2185,1427,3814
RG10,2424,2736,1693,809,682,571,387,252,442
RG11,7668,11148,6700,3616,2741,2609,2113,1085,1895
RG12,6364,9185,7294,4493,4734,4250,3050,2139,3954
RG13,2773,4464,3016,2138,2419,2095,1626,1404,2147
RG14,2370,3767,2302,1236,1284,1168,999,659,1143
RG15,1887,1845,1205,688,939,667,415,337,621
RG16,2061,2049,1424,891,877,973,503,380,649
RG17,592,655,479,332,442,337,233,169,331
RG18,101,163,97,63,28,33,42,22,22
RG19,145,214,143,87,64,76,60,60,67
RG2,2626,5170,3202,1921,2005,2334,1744,1612,3031
RG21,1882,3915,2467,1634,1573,1578,1408,1114,2088
RG22,2778,4039,3097,2311,2227,2025,1761,1474,2226
RG23,831,1293,912,686,668,581,445,375,564
RG24,2992,5307,3472,2147,1748,1851,1529,1178,1806
RG25,1592,1775,1470,674,783,534,358,286,505
RG26,1837,2591,1910,1238,1308,984,616,558,787
RG27,2242,2732,1791,982,897,743,533,345,579
RG28,645,866,527,312,361,289,171,180,209
RG3,4473,8101,5356,3964,4077,3847,3160,2498,4415
RG30,28,63,42,36,15,26,27,25,34
RG31,47,76,25,21,6,6,7,2,12
RG4,3850,6340,3270,1654,1588,1419,1070,609,1051
RG40,223,409,250,104,72,79,68,37,52
RG41,81,173,119,59,23,49,34,24,22
RG42,386,496,388,235,175,142,105,65,117
RG5,1923,3541,2074,1464,1332,1085,833,667,872
RG6,2482,5647,2712,1632,1208,1115,1017,716,1107
RG7,2871,3936,2473,1399,1409,1089,787,647,882
RG8,1737,1988,1118,613,638,453,262,205,389
RG9,2543,2372,1591,759,759,678,420,253,589
RH1,4251,7616,4336,2551,2280,2654,1553,1119,1868
RH10,5125,7091,5538,4171,3603,4105,3236,3024,4323
RH11,2537,3441,3083,2587,2608,3497,2836,2933,4064
RH12,4415,6065,4634,2618,2475,2458,1777,1137,1840
RH13,3521,4214,3182,1892,1934,1772,1226,793,1359
RH14,1533,1553,1210,732,950,678,466,280,566
RH15,2574,3861,2611,1729,1691,1803,1308,826,1367
RH16,3520,5270,3429,1758,1479,1816,1129,656,1346
RH17,1769,1947,1373,768,731,629,391,295,468
RH18,535,621,440,195,282,221,145,88,196
RH19,3033,3458,2669,1741,1723,1568,1086,741,1248
RH2,2458,3251,1923,980,814,934,558,351,593
RH20,2261,2258,1568,1102,1230,905,718,470,803
RH3,455,546,346,180,247,164,108,69,91
RH4,1575,2166,1322,833,861,759,452,269,561
RH5,1373,1361,949,640,824,491,345,198,395
RH6,2735,3477,2642,1948,1808,1759,1163,932,1289
RH7,841,857,692,460,477,388,189,189,281
RH8,1559,1762,1152,633,622,592,361,230,394
RH9,370,429,337,229,264,227,115,103,131
RM1,1724,3097,1992,1769,1707,1214,952,942,1387
RM10,1485,2923,1804,1776,2401,2577,1609,1970,3341
RM11,2688,3827,2622,2656,1705,1155,1037,939,1054
RM12,2002,3260,2341,2508,1962,1356,1063,1109,1317
