outcode,Single,Married,Seperated,Divorced,Widowed
WC1H,4398,1250,115,374,157
WC1N,2255,1031,109,307,155
WC1R,129,32,0,21,15
WC1V,203,45,12,28,19
WC1X,2048,734,56,213,101
WC2A,241,59,4,14,1
WC2B,791,210,28,120,49
WC2E,430,151,13,45,14
WC2H,410,163,14,70,20
WD1,24108,30327,1321,4866,3013
WD17,144,141,8,48,34
WD18,134,183,7,33,7
WD19,118,183,10,37,21
WD2,21645,30703,1227,4923,3456
WD23,54,121,3,19,7
WD24,97,103,3,17,1
WD25,266,475,16,54,19
WD3,9960,17744,512,2489,2026
WD4,2837,4439,179,772,564
WD5,2890,3776,157,824,530
WD6,12270,15124,717,2944,1633
WD7,2577,5188,157,662,491
WF1,14344,15361,967,3676,2052
WF10,16420,17069,1097,4290,2502
WF11,5319,5734,371,1539,1073
WF12,11424,15127,672,2644,1879
WF13,8540,10856,672,1668,1045
WF14,5220,8194,382,1595,1318
WF15,5327,6486,376,1584,1004
WF16,2769,3978,217,707,515
WF17,11513,14811,757,2525,1718
WF2,14875,19553,1017,4610,2828
WF3,8763,12436,527,2444,1568
WF4,10942,16640,760,3559,2372
WF5,5405,7958,385,1773,1227
WF6,6386,7953,413,2003,1140
WF7,6977,8789,453,1991,1295
WF8,10032,13322,652,3012,1983
WF9,11622,13184,788,3217,2298
WN1,7736,8186,504,2058,1253
WN2,16633,18541,967,4061,3087
WN3,8617,11686,455,2282,1501
WN4,7564,10872,494,2177,1761
WN5,13451,15842,841,3506,2715
WN6,10913,16421,643,3018,2410
WN7,16130,15595,1075,4220,2739
WN8,14816,14761,905,3651,2389
WR1,6268,3398,343,1354,583
WR10,4813,9757,328,1771,1479
WR11,12478,19197,872,4210,2621
WR12,1107,2743,74,483,490
WR13,2796,6265,182,980,857
WR14,8856,12115,643,2951,2146
WR15,1545,3062,103,587,449
WR2,10356,12426,463,2546,1853
WR3,6222,9377,366,1840,1250
WR4,8019,8841,429,2127,1012
WR5,8825,12792,518,2411,1542
WR6,1778,4163,111,609,456
WR7,933,2649,50,313,309
WR8,1488,3131,133,644,538
WR9,8112,12590,481,2573,1902
WS1,9730,10978,768,1747,1329
WS10,16247,16002,1098,3185,2467
WS11,14213,17165,952,3951,2624
WS12,9819,13179,632,2643,1697
WS13,8669,11733,566,2497,1896
WS14,4057,7646,226,1081,879
WS15,9735,14933,645,3097,2255
WS2,12824,13171,888,2601,1863
WS3,16718,17191,1012,3707,3244
WS4,5202,6505,294,1249,1024
WS5,5221,8269,296,1062,1190
WS6,4021,7022,228,1156,999
WS7,7618,12504,488,2337,1885
WS8,5160,5860,294,1343,1018
WS9,6200,9829,360,1736,1775
WV1,9738,5930,461,1422,879
WV10,21682,19143,1364,4175,3013
WV11,10468,12699,564,2521,2319
WV12,7025,9066,374,1603,1486
WV13,6718,7062,423,1498,1000
WV14,15908,15858,1007,3169,2613
WV15,2245,4255,158,899,649
WV16,3983,7356,255,1369,1205
WV2,6092,6931,413,1089,936
WV3,9078,11198,591,2300,1742
WV4,8119,12375,480,1863,1749
WV5,3081,5885,208,941,993
WV6,11945,17036,760,3139,2405
WV7,1292,2533,96,490,564
WV8,3815,5674,240,1129,898
WV9,1702,2587,106,502,396
YO1,26312,14330,669,3057,2170
YO10,724,43,5,11,3
YO11,9175,9602,749,3238,1912
YO12,10226,14008,736,3711,2442
YO13,1783,4374,110,676,533
YO14,2347,4985,260,999,1025
YO15,4368,7019,429,1784,1477
YO16,5553,8582,381,2127,1872
YO17,6452,10129,478,2018,1466
YO18,2484,5032,187,966,893
YO19,1545,3761,98,479,448
YO2,19970,24722,1007,5172,3364
YO21,3756,6573,280,1328,1035
YO22,1792,2971,118,686,520
YO23,134,680,12,74,58
YO24,131,190,9,30,14
YO25,7336,14573,586,2781,2210
YO26,1922,3478,91,509,404
YO3,25430,30140,1126,5910,4284
YO30,751,1109,36,234,109
YO31,253,186,7,37,5
YO4,8930,17556,677,3211,2342
YO42,293,290,19,58,21
YO43,219,346,9,59,12
YO5,1223,2558,92,437,385
YO6,6345,13817,447,2328,1930
YO61,54,165,4,25,7
YO7,4675,8420,380,1622,1133
YO8,12192,19094,845,3753,2448
