outcode,Christian,Buddhist,Hindu,Muslim,Others,None
PE37,6139,40,12,42,110,695
PE38,7706,39,11,104,104,962
PE4,14819,70,233,1126,286,1745
PE5,849,2,17,9,8,54
PE6,21067,64,145,254,269,2090
PE7,23249,133,655,1038,417,2616
PE8,9740,49,78,68,118,968
PE9,17160,71,110,121,187,1769
PL1,11984,184,162,923,317,2250
PL10,1762,22,0,4,63,258
PL11,4904,20,7,13,68,622
PL12,11559,77,15,43,147,1253
PL13,5562,33,7,14,112,646
PL14,11260,127,34,14,272,1681
PL15,11010,57,11,81,203,1667
PL16,456,4,0,2,5,41
PL17,4985,25,7,12,77,713
PL18,2268,12,2,3,47,297
PL19,8068,59,12,32,139,990
PL2,12852,106,99,371,233,1807
PL20,6821,59,10,38,150,849
PL21,10003,81,17,40,116,1222
PL22,2105,8,7,6,33,253
PL23,1641,10,0,2,46,246
PL24,4911,45,7,9,63,752
PL25,13279,75,28,43,179,1956
PL26,13003,84,26,15,240,1834
PL27,6278,41,5,25,101,796
PL28,2081,22,0,7,24,232
PL29,856,1,0,0,12,106
PL3,13177,166,90,391,208,1757
PL30,5146,26,3,11,77,697
PL31,6913,44,19,39,118,958
PL32,1871,19,3,7,45,261
PL33,881,9,0,4,32,103
PL34,696,8,2,2,25,104
PL35,358,2,2,4,16,51
PL4,9736,192,215,1053,358,2376
PL5,19327,107,119,282,260,2277
PL6,19916,132,97,286,202,2312
PL7,15868,66,18,131,169,1775
PL8,2773,23,5,8,34,309
PL9,14582,70,19,71,155,1701
PO1,13064,260,476,3326,376,3096
PO10,10781,96,57,63,166,1319
PO11,9406,68,18,44,139,1137
PO12,20685,172,122,249,346,2406
PO13,16293,101,109,201,246,1856
PO14,18558,85,105,258,240,2025
PO15,10908,70,175,178,142,1281
PO16,14842,131,109,193,163,1638
PO17,4020,14,20,29,80,520
PO18,9195,46,21,88,112,1036
PO19,16028,241,140,408,273,2066
PO2,17504,175,203,1760,380,2386
PO20,18846,95,70,118,239,1908
PO21,24182,122,131,499,300,2989
PO22,15372,75,66,156,197,1776
PO3,8072,69,76,428,144,1046
PO30,15005,135,62,238,313,2088
PO31,6394,43,41,66,97,929
PO32,3879,37,11,27,84,487
PO33,14433,99,75,110,317,2185
PO34,1078,7,3,6,25,98
PO35,1952,13,3,6,33,195
PO36,8689,53,32,60,123,1045
PO37,4558,50,9,31,79,637
PO38,5818,34,10,28,129,764
PO39,1806,4,7,6,23,268
PO4,16253,247,317,1624,496,2853
PO40,2444,15,5,8,50,279
PO41,952,5,1,6,12,121
PO5,9151,169,288,2321,256,1795
PO6,18265,157,242,719,264,2268
PO7,20963,136,117,239,257,2414
PO8,16588,82,90,180,256,1868
PO9,20249,125,173,298,315,2673
PR0,139,0,0,168,1,29
PR1,33457,262,2645,16529,846,4675
PR11,160,0,16,38,5,14
PR2,42202,204,1993,7075,955,3972
PR25,21223,76,112,301,156,1763
PR26,8455,61,35,185,136,742
PR3,27189,82,89,187,204,2020
PR4,40435,133,264,509,307,2895
PR5,23654,95,208,439,239,1996
PR6,22812,88,108,792,195,1779
PR7,37221,119,168,588,297,3199
PR8,33180,168,217,733,351,3211
PR9,25113,113,122,365,297,2351
RG1,19161,1127,4559,6185,1037,4532
RG10,10766,72,180,227,333,1263
RG11,38326,343,2572,1987,1459,4621
RG12,39529,610,1920,1597,1240,4712
RG13,19743,126,707,608,280,2510
RG14,13293,104,618,372,215,1705
RG15,9583,43,59,76,142,1074
RG16,10711,62,99,86,138,1276
RG17,3680,17,26,9,56,514
RG18,507,3,30,7,13,50
RG19,768,5,19,23,9,95
RG2,18701,853,2455,4201,880,2852
RG21,12598,578,1972,1077,479,1975
RG22,18484,399,768,635,396,2196
RG23,6343,80,124,139,95,685
RG24,17298,372,1017,686,479,2288
RG25,8593,71,53,45,92,791
RG26,11090,57,77,122,163,1279
RG27,10944,89,160,174,161,1194
RG28,3486,16,17,26,36,426
RG3,35781,892,2160,4966,1040,4761
RG30,204,2,31,55,12,22
RG31,196,1,11,16,10,16
RG4,18986,223,970,1257,575,2723
RG40,803,9,153,148,44,147
RG41,341,15,116,79,41,57
RG42,1878,36,91,60,62,205
RG5,12452,89,1008,1602,661,1637
RG6,12820,277,3343,4052,1228,2263
RG7,14952,128,371,449,367,1970
RG8,8219,49,58,85,98,918
RG9,11367,116,64,334,240,1287
RH1,26116,230,1720,1989,425,3431
RH10,35272,305,3701,5321,1140,4620
RH11,24047,262,2592,6474,604,3269
RH12,25645,198,467,675,378,3368
RH13,19283,160,203,396,291,2424
